ï..location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts,latgroup
1080-SW,53.664287,-114.56208,NA,5500,f,f,NA,65881, 2021-03-24 09:39:18,54
1146-NW,53.277996,-114.40205,NA,5500,f,f,NA,65845, 2021-03-24 09:39:18,53
1147-SE,53.250572,-114.06008,NA,5500,f,f,NA,65842, 2021-03-24 09:39:18,53
1265-NE,52.709812,-116.084496,NA,5500,f,f,NA,33734, 2021-03-24 09:39:18,53
1292-NE,52.525878,-116.379936,NA,5500,f,f,NA,33760, 2021-03-24 09:39:18,53
1293-SE,52.514469,-116.083382,NA,5500,f,f,NA,33766, 2021-03-24 09:39:18,53
222-NW,58.740612,-117.138252,NA,5500,f,f,NA,90193, 2021-09-07 15:01:09,59
252-NE,58.615291,-117.165581,NA,5500,f,f,NA,90172, 2021-09-07 15:01:06,59
252-SW,58.615291,-117.165581,NA,5500,f,f,NA,90169, 2021-09-07 15:01:05,59
253-NW,58.539279,-116.870667,NA,5500,f,f,NA,90167, 2021-09-07 15:01:05,59
253-SW,58.539279,-116.870667,NA,5500,f,f,NA,90166, 2021-09-07 15:01:05,59
282-NE,58.382511,-117.252838,NA,5500,f,f,NA,90243, 2021-09-08 16:18:53,58
282-NW,58.382511,-117.252838,NA,5500,f,f,NA,90242, 2021-09-08 16:18:53,58
283-NE,58.372741,-116.99353,NA,5500,f,f,NA,90239, 2021-09-08 16:18:52,58
283-SE,58.372741,-116.99353,NA,5500,f,f,NA,90237, 2021-09-08 16:18:52,58
283-SW,58.372741,-116.99353,NA,5500,f,f,NA,90236, 2021-09-08 16:18:52,58
967-NW,54.486717,-118.37994,NA,5500,f,f,NA,65861, 2021-03-24 09:39:18,54
998-NE,54.346843,-119.10784,NA,5500,f,f,NA,65867, 2021-03-24 09:39:18,54
998-SE,54.346843,-119.10784,NA,5500,f,f,NA,65855, 2021-03-24 09:39:18,54
999-NW,54.366092,-118.71465,NA,5500,f,f,NA,65875, 2021-03-24 09:39:18,54
